Company,Website,Contact_URL,Email,Phone,Address,Wikipedia
2d3,,,,,,https://en.wikipedia.org/wiki/2d3
"280 North, Inc.",,,,,,"https://en.wikipedia.org/wiki/280_North,_Inc."
Accordent Technologies,https://web.archive.org/web/20070927161531/http://www.accordent.com/,https://web.archive.org/web/20070927161531/http://www.accordent.com/contact,,,,https://en.wikipedia.org/wiki/Accordent_Technologies
AddToAny,,,,,,https://en.wikipedia.org/wiki/AddToAny
Alteryx,http://alteryx.com,https://www.alteryx.com/contact-us,,+1 888 836 4274,"Irvine, CA 92612",https://en.wikipedia.org/wiki/Alteryx
Altos 586,,,,,,https://en.wikipedia.org/wiki/Altos_586
Amicima,,,,,,https://en.wikipedia.org/wiki/Amicima
Answer Underground,http://www.answerunderground.com,,,,,https://en.wikipedia.org/wiki/Answer_Underground
AppFolio,http://appfolio.com,http://appfolio.com/resources/contact,,866.648.1536,"Goleta, CA 93117",https://en.wikipedia.org/wiki/AppFolio
Appy Entertainment,,,,,,https://en.wikipedia.org/wiki/Appy_Entertainment
Arcada Software,,,,,,https://en.wikipedia.org/wiki/Arcada_Software
ArcSight,http://www.microfocus.com/arcsight,http://www.microfocus.com/products/contact-center-solutions,,800-499-6544,,https://en.wikipedia.org/wiki/ArcSight
Arkeia Software,http://arkeia.com,,,,,https://en.wikipedia.org/wiki/Arkeia_Software
Artisan AI,http://artisan.co,http://artisan.co/contact-us,hello@artisan.co,,,https://en.wikipedia.org/wiki/Artisan_AI
Automation Anywhere,https://www.automationanywhere.com/,https://www.automationanywhere.com/contact-us,,888-484-3535,,https://en.wikipedia.org/wiki/Automation_Anywhere
Balsamiq,http://www.balsamiq.com/,http://www.balsamiq.com/company,,,,https://en.wikipedia.org/wiki/Balsamiq
BatchMaster Software,http://www.batchmaster.com/,http://www.batchmaster.com/contact-us/,sales@eworkplace.com,949.583.1646,"Irvine, CA 92618",https://en.wikipedia.org/wiki/BatchMaster_Software
BIAS,http://www.bias-inc.com,http://www.bias-inc.com/contact,,,,https://en.wikipedia.org/wiki/BIAS
BindView,,,,,,https://en.wikipedia.org/wiki/BindView
BIOVIA,https://www.3ds.com/biovia,https://www.3ds.com/products/biovia/contact,,,,https://en.wikipedia.org/wiki/BIOVIA
BlackLine Systems,https://www.blackline.com/,https://www.blackline.com/contact/,,+1 877 777 7750,"Woodland Hills, CA 91367",https://en.wikipedia.org/wiki/BlackLine_Systems
BLAST (protocol),,,,,,https://en.wikipedia.org/wiki/BLAST_(protocol)
"Bluebeam Software, Inc.",http://bluebeam.com,https://www.bluebeam.com/contact/#faqs,,866-496-2140,,"https://en.wikipedia.org/wiki/Bluebeam_Software,_Inc."
Bomb Factory Studio,,,,,,https://en.wikipedia.org/wiki/Bomb_Factory_Studio
TheBrain Technologies,http://thebrain.com,http://thebrain.com/about,info@thebrain.com,888-652-7529,"Los Angeles, CA 90066",https://en.wikipedia.org/wiki/TheBrain_Technologies
